name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acutalibacter muris	1796620	S	673	11	684	0.00003
uncultured Caproiciproducens sp.	1738647	S	494	3	497	0.00002
Caproiciproducens sp. NJN-50	2507162	S	175	5	180	0.00001
Monoglobus pectinilyticus	1981510	S	505	24	529	0.00002
Caproicibacter fermentans	2576756	S	490	12	502	0.00002
Ethanoligenens harbinense	253239	S	448	9	457	0.00002
Mageeibacillus indolicus	884684	S	265	19	284	0.00001
Thermocaproicibacter melissae	2966552	S	253	4	257	0.00001
Petroclostridium sp. X23	3045146	S	190	2	192	0.00001
Acetivibrio thermocellus	1515	S	24	22	46	0.00000
Acetivibrio saccincola	1677857	S	16	2	18	0.00000
Paludicola sp. MB14-C6	3070656	S	37	0	37	0.00000
Pseudoclostridium thermosuccinogenes	84032	S	35	3	38	0.00000
Thermoclostridium stercorarium	1510	S	25	6	31	0.00000
Wujia chipingensis	2763670	S	105727	26206	131933	0.00545
Roseburia hominis	301301	S	14602	2894	17496	0.00072
Roseburia intestinalis	166486	S	5853	3157	9010	0.00037
Roseburia rectibacter	2763062	S	349	66	415	0.00002
Coprococcus sp. ART55/1	751585	S	10167	1643	11810	0.00049
Coprococcus comes	410072	S	2825	887	3712	0.00015
Coprococcus eutactus	33043	S	1379	1565	2944	0.00012
Coprococcus catus	116085	S	1240	250	1490	0.00006
Blautia wexlerae	418240	S	4363	2085	6448	0.00027
Blautia luti	89014	S	3642	1482	5124	0.00021
Blautia obeum	40520	S	1603	518	2121	0.00009
Blautia hansenii	1322	S	1132	361	1493	0.00006
Blautia hydrogenotrophica	53443	S	1043	40	1083	0.00004
Blautia sp. SC05B48	2479767	S	579	900	1479	0.00006
Blautia parvula	2877527	S	258	55	313	0.00001
Blautia pseudococcoides	1796616	S	179	14	193	0.00001
Blautia argi	1912897	S	101	16	117	0.00000
Blautia coccoides	1532	S	87	265	352	0.00001
Blautia producta	33035	S	66	107	173	0.00001
Blautia liquoris	2779518	S	46	1	47	0.00000
Enterocloster asparagiformis	333367	S	4837	104	4941	0.00020
Enterocloster clostridioformis	1531	S	4240	697	4937	0.00020
Enterocloster bolteae	208479	S	2849	309	3158	0.00013
Agathobacter rectalis	39491	S	7160	2116	9276	0.00038
[Ruminococcus] torques	33039	S	2601	746	3347	0.00014
Mediterraneibacter gnavus	33038	S	878	219	1097	0.00005
[Ruminococcus] lactaris	46228	S	399	64	463	0.00002
Dorea longicatena	88431	S	1538	419	1957	0.00008
Dorea formicigenerans	39486	S	689	230	919	0.00004
[Clostridium] scindens	29347	S	1411	102	1513	0.00006
Lachnoclostridium phocaeense	1871021	S	442	63	505	0.00002
[Clostridium] hylemonae	89153	S	307	19	326	0.00001
Lachnoclostridium phytofermentans	66219	S	26	0	26	0.00000
Anaerostipes hadrus	649756	S	2022	245	2267	0.00009
Anaerostipes caccae	105841	S	93	12	105	0.00000
Anaerostipes rhamnosivorans	1229621	S	32	5	37	0.00000
Simiaoa sunii	2763672	S	2089	352	2441	0.00010
Butyrivibrio crossotus	45851	S	1418	203	1621	0.00007
Butyrivibrio fibrisolvens	831	S	37	6	43	0.00000
Butyrivibrio proteoclasticus	43305	S	37	13	50	0.00000
Butyrivibrio hungatei	185008	S	27	10	37	0.00000
Wansuia hejianensis	2763667	S	1443	53	1496	0.00006
Anaerobutyricum hallii	39488	S	1390	205	1595	0.00007
Lacrimispora saccharolytica	84030	S	408	43	451	0.00002
Lacrimispora sphenoides	29370	S	193	12	205	0.00001
Lacrimispora xylanolytica	29375	S	95	2	97	0.00000
Lachnospira eligens	39485	S	563	37	600	0.00002
Qiania dongpingensis	2763669	S	445	24	469	0.00002
Marvinbryantia formatexigens	168384	S	405	9	414	0.00002
Anaerocolumna sp. AGMB13025	3039116	S	248	12	260	0.00001
Anaerocolumna sp. AGMB13020	3081750	S	25	1	26	0.00000
Anaerocolumna sp. MB42-C2	3070997	S	19	4	23	0.00000
Anaerocolumna chitinilytica	1727145	S	29	1	30	0.00000
Anaerocolumna cellulosilytica	433286	S	24	1	25	0.00000
Anaerocolumna sedimenticola	2696063	S	23	6	29	0.00000
Chordicoccus furentiruminis	2709410	S	388	8	396	0.00002
Claveliimonas bilis	3028070	S	321	24	345	0.00001
Herbinix luporum	1679721	S	203	28	231	0.00001
Stomatobaculum sp. F0698	3059030	S	155	2	157	0.00001
Sellimonas intestinalis	1653434	S	127	7	134	0.00001
Anaerotignum sp. MB30-C6	3070814	S	47	11	58	0.00000
Anaerotignum propionicum	28446	S	44	8	52	0.00000
Lachnoanaerobaculum gingivalis	2490855	S	38	11	49	0.00000
Lachnoanaerobaculum umeaense	617123	S	30	8	38	0.00000
Kineothrix sp. MB12-C1	3070215	S	72	0	72	0.00000
Chakrabartyella piscis	2918914	S	61	0	61	0.00000
Novisyntrophococcus fermenticellae	2068655	S	59	2	61	0.00000
Anaeropeptidivorans aminofermentans	2934315	S	40	0	40	0.00000
Pseudobutyrivibrio xylanivorans	185007	S	39	0	39	0.00000
Anaeromicropila herbilytica	2785025	S	28	0	28	0.00000
Flintibacter sp. KGMB00164	2610895	S	53190	2023	55213	0.00228
Intestinimonas butyriciproducens	1297617	S	12898	563	13461	0.00056
Emergencia timonensis	1776384	S	710	25	735	0.00003
Aminipila luticellarii	2507160	S	157	5	162	0.00001
Aminipila butyrica	433296	S	61	1	62	0.00000
Aminipila terrae	2697030	S	13	0	13	0.00000
Mogibacterium pumilum	86332	S	11	6	17	0.00000
Massilistercora timonensis	2086584	S	450	81	531	0.00002
Thermaerobacter marianensis	73919	S	69	3	72	0.00000
Thermaerobacter sp. FW80	2546351	S	40	79	119	0.00000
Thermaerobacter sp. PB12/4term	2293838	S	24	1	25	0.00000
Carboxydocella thermautotrophica	178899	S	23	0	23	0.00000
Eubacterium sp. MSJ-33	2841528	S	7099	1162	8261	0.00034
Eubacterium ventriosum	39496	S	1657	220	1877	0.00008
Eubacterium maltosivorans	2041044	S	907	44	951	0.00004
Eubacterium callanderi	53442	S	583	51	634	0.00003
Eubacterium limosum	1736	S	116	7	123	0.00001
Intestinibacillus sp. NTUH-41-i26	3079303	S	6390	514	6904	0.00029
Alkalibacter rhizosphaerae	2815577	S	135	0	135	0.00001
uncultured Acetobacterium sp.	217139	S	27	4	31	0.00000
Acetobacterium woodii	33952	S	14	1	15	0.00000
Acetobacterium wieringae	52694	S	11	2	13	0.00000
Clostridium sp. M62/1	411486	S	3159	1024	4183	0.00017
Clostridium sp. SY8519	1042156	S	467	17	484	0.00002
Clostridium sp. LQ25	2992805	S	41	156	197	0.00001
Clostridium sp. MD294	97138	S	15	0	15	0.00000
Clostridium cadaveris	1529	S	1693	87	1780	0.00007
Clostridium saccharoperbutylacetonicum	36745	S	61	2	63	0.00000
Clostridium perfringens	1502	S	25	23	48	0.00000
Clostridium estertheticum	238834	S	25	1	26	0.00000
Clostridium taeniosporum	394958	S	24	1	25	0.00000
Clostridium kluyveri	1534	S	17	0	17	0.00000
Clostridium tyrobutyricum	1519	S	16	0	16	0.00000
Clostridium pasteurianum	1501	S	12	0	12	0.00000
Clostridium botulinum	1491	S	10	2	12	0.00000
Hungatella hathewayi	154046	S	1416	138	1554	0.00006
Hungatella xylanolytica	384636	S	62	1	63	0.00000
Butyricicoccus sp. GAM44	2109686	S	63	0	63	0.00000
Proteiniclasticum sp. QWL-01	3036945	S	52	1	53	0.00000
Caloramator sp. mosi_1	3023090	S	28	3	31	0.00000
Alkaliphilus oremlandii	461876	S	12	0	12	0.00000
Paraclostridium bifermentans	1490	S	18	1	19	0.00000
Crassaminicella profunda	1286698	S	11	1	12	0.00000
Clostridioides difficile	1496	S	2423	528	2951	0.00012
Romboutsia ilealis	1115758	S	54	10	64	0.00000
Romboutsia sp. 13368	2708053	S	13	3	16	0.00000
Acetoanaerobium sticklandii	1511	S	58	0	58	0.00000
Filifactor alocis	143361	S	42	4	46	0.00000
Peptoclostridium acidaminophilum	1731	S	19	0	19	0.00000
Aristaeella hokkaidonensis	3046382	S	269	188	457	0.00002
Aristaeella lactis	3046383	S	180	118	298	0.00001
Maliibacterium massiliense	2086585	S	440	17	457	0.00002
Thermanaerosceptrum fracticalcis	1712410	S	106	3	109	0.00000
