name	SRR8146935	SRR8146936	SRR8146938	SRR8146963	SRR8146968	SRR8146973
Christensenella minuta	4e-5	0	1.6e-4	1e-5	1e-5	8e-5
Desulforamulus ruminis	1e-5	0	2e-5	0	0	1e-5
Desulforamulus reducens	0	0	1e-5	0	0	1e-5
Desulforamulus ferrireducens	0	0	1e-5	0	0	0
Thermanaerosceptrum fracticalcis	1e-5	0	1e-5	0	0	1e-5
Candidatus Formimonas warabiya	0	0	1e-5	0	0	2e-5
Acididesulfobacillus acetoxydans	0	0	0	0	0	1e-5
Desulfofarcimen acetoxidans	0	0	1e-5	0	0	0
Dehalobacterium formicoaceticum	0	0	2e-5	0	0	1e-5
Candidatus Desulforudis audaxviator	0	0	1e-5	0	0	0
Desulfitobacterium hafniense	0	0	0	0	0	1e-5
Desulfitobacterium dehalogenans	0	0	0	0	0	0
Desulfitobacterium dichloroeliminans	0	0	0	1e-5	0	0
Desulfosporosinus meridiei	0	0	0	0	0	0
Desulfosporosinus youngiae	0	0	1e-5	0	0	0
Desulfosporosinus orientis	0	0	0	0	0	0
Desulfosporosinus acidiphilus	0	0	0	0	0	0
Dehalobacter restrictus	0	0	0	0	0	0
Syntrophobotulus glycolicus	0	0	0	0	0	0
Heliomicrobium modesticaldum	1e-5	0	2e-5	1e-5	0	2e-5
Heliorestis convoluta	0	0	3e-5	0	0	0
Symbiobacterium thermophilum	1e-5	0	3e-5	0	0	1e-5
Caldinitratiruptor microaerophilus	0	0	2e-5	1e-5	0	1e-5
Vallitalea guaymasensis	0	0	0	0	0	0
Vallitalea pronyensis	0	0	0	0	0	0
Petrocella atlantisensis	0	0	1e-5	0	0	0
Cellulosilyticum sp. WCF-2	1e-5	0	0	0	0	0
Syntrophothermus lipocalidus	0	0	0	0	0	0
Desulfotomaculum nigrificans	0	0	0	0	0	0
Desulfoscipio gibsoniae	0	0	1e-5	0	0	1e-5
Thermincola potens	0	0	0	0	0	0
Gelria sp. Kuro-4	1e-5	0	1e-5	0	0	1e-5
Thermoanaerobacterium xylanolyticum	0	0	0	0	0	0
Thermoanaerobacterium sp. CMT5567-10	0	0	0	0	0	0
Thermoanaerobacterium thermosaccharolyticum	0	0	1e-5	0	0	1e-5
Thermacetogenium phaeum	0	0	1e-5	0	0	1e-5
Aceticella autotrophica	0	0	0	0	0	0
Ammonifex degensii	0	0	1e-5	0	0	1e-5
Mahella australiensis	0	0	1e-5	0	0	0
Moorella glycerini	1e-5	0	1e-5	0	0	2e-5
Moorella thermoacetica	1e-5	0	1e-5	0	0	1e-5
Moorella sp. Hama-1	0	0	1e-5	0	0	1e-5
Thermanaeromonas toyohensis	0	0	0	0	0	0
Zhaonella formicivorans	0	0	0	0	0	0
Caldicellulosiruptor obsidiansis	0	0	0	0	0	0
Caldicellulosiruptor diazotrophicus	0	0	0	0	0	0
Caldicellulosiruptor owensensis	0	0	0	0	0	0
Halanaerobium praevalens	0	0	0	0	0	0
Anoxybacter fermentans	0	0	0	0	0	0
Halothermothrix orenii	0	0	0	0	0	0
Biomaibacter acetigenes	0	0	0	0	0	0
Thermosediminibacter oceani	0	0	2e-5	0	0	2e-5
Paenibacillus sp. B01	2e-5	0	1e-5	0	0	2e-5
Paenibacillus sp. JDR-2	1e-5	0	1e-5	0	0	1e-5
Paenibacillus sp. SYP-B4298	1e-5	0	1e-5	0	0	1e-5
Paenibacillus sp. 32O-W	0	0	1e-5	0	1e-5	1e-5
Paenibacillus sp. FSL R7-0331	1e-5	0	1e-5	1e-5	1e-5	1e-5
Paenibacillus sp. URB8-2	1e-5	0	0	0	0	0
Paenibacillus sp. JZ16	0	0	1e-5	0	0	0
Paenibacillus sp. BIHB 4019	0	0	1e-5	0	0	1e-5
Paenibacillus sp. FSL R7-0273	0	0	1e-5	0	1e-5	1e-5
Paenibacillus sp. PAMC21692	1e-5	0	0	0	0	1e-5
Paenibacillus sp. N3/727	1e-5	0	0	0	0	0
Paenibacillus sp. MBLB1832	0	0	1e-5	0	0	0
Paenibacillus sp. MMS20-IR301	0	0	0	0	0	1e-5
Paenibacillus sp. HWE-109	0	0	0	0	0	0
Paenibacillus sp. FSL R5-0912	0	0	1e-5	0	0	0
Paenibacillus sp. JNUCC-31	0	0	0	0	0	1e-5
Paenibacillus sp. R14(2021)	0	0	0	0	0	0
Paenibacillus sp. RUD330	0	0	1e-5	1e-5	0	1e-5
Paenibacillus sp. PSB04	0	0	0	0	0	1e-5
Paenibacillus sp. RC67	0	0	0	0	0	0
Paenibacillus sp. H1-7	0	0	0	0	0	0
Paenibacillus sp. PK3_47	0	0	1e-5	0	0	0
Paenibacillus sp. KACC 21273	1e-5	0	0	0	0	0
Paenibacillus sp. YPG26	0	0	0	0	0	0
Paenibacillus sp. G2S3	0	0	0	0	0	0
Paenibacillus sp. D2_2	0	0	0	0	0	0
Paenibacillus sp. S02	1e-5	0	3e-5	0	0	0
Paenibacillus donghaensis	2e-5	0	1e-5	0	0	1e-5
Paenibacillus brasilensis	2e-5	0	1e-5	0	1e-5	0
Paenibacillus durus	1e-5	0	1e-5	0	1e-5	2e-5
Paenibacillus mucilaginosus	1e-5	0	1e-5	1e-5	0	2e-5
Paenibacillus lycopersici	1e-5	0	1e-5	0	0	1e-5
Paenibacillus azoreducens	1e-5	1e-5	0	0	0	0
Paenibacillus elgii	0	0	0	0	0	1e-5
Paenibacillus protaetiae	0	0	0	0	0	1e-5
Paenibacillus dendritiformis	1e-5	0	1e-5	0	1e-5	1e-5
Paenibacillus stellifer	0	0	0	0	0	1e-5
Paenibacillus macerans	0	0	1e-5	0	0	0
Paenibacillus lentus	0	0	0	0	0	0
Paenibacillus algicola	0	0	1e-5	0	0	0
Paenibacillus chitinolyticus	0	0	1e-5	0	0	1e-5
Paenibacillus cellulositrophicus	1e-5	0	0	0	0	4e-5
Paenibacillus sonchi	0	0	0	0	0	0
Paenibacillus borealis	0	0	0	0	0	0
Paenibacillus bovis	0	0	0	0	0	0
Paenibacillus beijingensis	0	0	0	0	2e-5	1e-5
Paenibacillus albicereus	0	0	0	0	0	1e-5
Paenibacillus woosongensis	0	0	0	0	0	0
Paenibacillus aurantius	0	0	1e-5	0	0	0
Paenibacillus rhizovicinus	0	0	0	0	1e-5	1e-5
Paenibacillus cellulosilyticus	0	0	0	0	0	0
Paenibacillus psychroresistens	0	0	0	0	0	0
Paenibacillus ihbetae	0	0	1e-5	0	0	0
Paenibacillus sophorae	0	0	1e-5	0	2e-5	1e-5
Paenibacillus terrae	0	0	0	1e-5	0	0
Paenibacillus spongiae	0	0	1e-5	0	1e-5	1e-5
Paenibacillus naphthalenovorans	0	0	0	0	0	0
Paenibacillus thiaminolyticus	0	0	0	0	0	0
